                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.334,                 1.4538,                 1.5359,                0.68785,                0.59247,                0.64016,                0.48061,                 1.2778,                 1.4261,                 1.5073,              0.0026653,              0.0026653,              0.0026653
                     35,                 1.3196,                 1.4245,                 1.5255,                0.63727,                0.62276,                0.64118,                 0.4874,                 1.2662,                 1.4646,                 1.5085,              0.0023977,              0.0023977,              0.0023977
                     36,                 1.3137,                 1.4074,                 1.5187,                0.67083,                0.59983,                0.64036,                0.47511,                 1.2835,                 1.4461,                 1.5168,              0.0021405,              0.0021405,              0.0021405
                     37,                 1.3026,                 1.3987,                 1.5092,                0.66272,                0.60166,                0.63702,                0.48666,                 1.2622,                 1.4658,                 1.4993,              0.0018948,              0.0018948,              0.0018948
                     38,                 1.2992,                 1.3837,                 1.5051,                0.58852,                0.63673,                0.58354,                0.43635,                 1.2558,                 1.5281,                 1.4951,              0.0016615,              0.0016615,              0.0016615
                     39,                 1.2959,                 1.3922,                 1.5109,                0.65554,                0.60257,                0.62918,                0.47443,                  1.248,                 1.4576,                 1.4935,              0.0014416,              0.0014416,              0.0014416
                     40,                 1.2842,                 1.3727,                 1.5016,                 0.6542,                0.63006,                0.64154,                0.48836,                 1.2527,                 1.4716,                 1.4938,               0.001236,               0.001236,               0.001236
                     41,                 1.1667,                 1.1381,                 1.4283,                 0.6378,                0.62855,                0.61793,                0.46715,                   1.26,                 1.5144,                 1.5005,              0.0010454,              0.0010454,              0.0010454
                     42,                 1.1451,                 1.1045,                 1.4153,                 0.6477,                0.62537,                0.62057,                0.46626,                 1.2661,                 1.4878,                 1.5048,             0.00087058,             0.00087058,             0.00087058
                     43,                 1.1392,                  1.092,                 1.4069,                0.66456,                0.61976,                0.62957,                0.47418,                  1.262,                 1.4783,                 1.5013,             0.00071228,             0.00071228,             0.00071228
                     44,                 1.1187,                 1.0668,                  1.393,                0.63076,                 0.6395,                0.62892,                0.47288,                 1.2674,                 1.4583,                 1.5091,             0.00057111,             0.00057111,             0.00057111
                     45,                 1.1136,                 1.0479,                 1.3844,                0.59448,                0.66678,                 0.6153,                0.46375,                 1.2646,                 1.5076,                 1.5077,             0.00044761,             0.00044761,             0.00044761
                     46,                 1.1113,                 1.0503,                  1.385,                0.66137,                0.61352,                 0.6132,                0.46562,                 1.2682,                  1.478,                 1.5148,             0.00034227,             0.00034227,             0.00034227
                     47,                 1.1018,                 1.0379,                 1.3774,                 0.6551,                0.62378,                0.62174,                0.46948,                 1.2627,                 1.4628,                 1.5083,             0.00025551,             0.00025551,             0.00025551
                     48,                 1.1035,                 1.0341,                 1.3808,                0.67036,                0.61768,                0.62094,                 0.4758,                 1.2582,                 1.4663,                  1.509,             0.00018768,             0.00018768,             0.00018768
                     49,                 1.0585,                0.99369,                 1.3488,                0.66633,                0.61599,                0.61809,                0.46895,                 1.2611,                 1.4978,                 1.5126,             0.00013903,             0.00013903,             0.00013903
                     50,                 1.0644,                0.99593,                 1.3519,                0.66736,                 0.6135,                0.62025,                 0.4714,                 1.2624,                 1.4872,                 1.5149,             0.00010977,             0.00010977,             0.00010977
